Title,Company Name,Promotion Text,Location,Experience Required
Deputy Manager or Manager- IT,Next Spaces ltd,N/A,Dhaka,10 to 12 year(s)
Junior Engineer- IT / Assistant Engineer- IT,Neoformation Architects,N/A,Anywhere in Bangladesh,Na
Deputy Manager/Manager,Grameen Telecom Trust,N/A,Dhaka,At least 5 year(s)
Software Engineer (ASP.NET),Dream71 Bangladesh Limited (Dhaka),N/A,"Dhaka, Basundhara RA",3 to 7 year(s)
"Name of the Position Vice President, Data Center & Infrastructure",Computer Network Systems (CNS) Ltd.,N/A,Dhaka,5 to 10 year(s)
Azure Administrator,Clarex Ltd,"We are looking for a talented Azure administrator engineer. The ideal candidate will have experience in administrator development, Azure administration, knowledge of general Azure administrator concepts, and basic Linux server administration.",DOHS Baridhara,2 to 3 year(s)
"Executive/ Senior Executive, Information Technology",Edison Real Estate Limited,N/A,Dhaka,2 to 4 year(s)
Head of ICT Department,Best Life Insurance Limited,N/A,Dhaka,At least 8 year(s)
Executive,Karnaphuli Group,N/A,Dhaka,At most 3 year(s)
Senior Executive/ Assistant Manager- Business Development,Fiber @ Home Ltd.,N/A,GULSHAN 1,3 to 7 year(s)
Front End Developer (React JS & Next JS),USA Immigration Consultancy associated with Raju Law (Attorney Raju Mahajan & Associates),"USA Immigration Consultancy associate with Raju Law, is an immigration law firm headquartering in the United States. The firm is dedicated to helping clients fulfill their goal of obtaining a Green Card through a variety of immigration services.",Anywhere in Bangladesh,At least 2 year(s)
Python Developer (Python & Django),USA Immigration Consultancy associated with Raju Law (Attorney Raju Mahajan & Associates),"USA Immigration Consultancy associate with Raju Law, is an immigration law firm headquartering in the United States. The firm is dedicated to helping clients fulfill their goal of obtaining a Green Card through a variety of immigration services.",Anywhere in Bangladesh,At least 2 year(s)
Customer Support Executive (Website),Anghorag.com,N/A,"Panchlaish, Chattogram Sadar",At least 1 year(s)
Frontend Developer (React.js/Next.js),Micronetbd Inc,"Advance your career in a role that offers international exposure, professional growth, and a collaborative work environment. Work in synchronization with U.S. business hours, a proven pathway to enhance earning potential and career opportunities.",Banani,At least 3 year(s)
Backend Developer (Node.js),Micronetbd Inc,This is more than a job; it`s an opportunity to excel in an environment that mirrors American corporate culture and work ethics. It`s your chance to build international credibility and advance your career by working closely with industry leaders.,Banani,At least 3 year(s)
Development Trainee - IT,Oxfam,N/A,Dhaka,At least 1 year(s)
Automation QA Engineer,Itransition,N/A,Dhaka,At least 1 year(s)
Full Stack Developer,Arrowhead IT Solutions,N/A,Khulna,1 to 3 year(s)
Senior Sales Executive (IT Products),Samanta Computer and Services,N/A,Dhaka,At least 3 year(s)
